desk_id,status,campaign
M0001,Occupied,empty
M0002,Occupied,empty
M0003,Occupied,empty
M0004,Occupied,empty
M0005,Vacant,empty
M0006,Occupied,empty
M0007,Vacant,empty
M0008,Occupied,empty
M0009,Occupied,empty
M0010,Vacant,empty
M0011,Occupied,empty
M0012,Occupied,empty
M0013,Occupied,empty
M0014,Occupied,empty
M0015,Occupied,empty
M0016,Occupied,empty
M0017,Vacant,empty
M0018,Occupied,empty
M0019,Occupied,empty
M0020,Occupied,empty
M0021,Occupied,empty
M0022,Occupied,empty
M0023,Occupied,empty
M0024,Vacant,empty
M0025,Vacant,empty
