desk_id,status,campaign
D0001,Occupied,Flutterwave
D0002,Vacant,Flutterwave
D0003,Occupied,Flutterwave
D0004,Vacant,Flutterwave
D0005,Vacant,Flutterwave
D0006,Vacant,Flutterwave
D0007,Vacant,Flutterwave
D0008,Vacant,Flutterwave
D0009,Vacant,Flutterwave
D0010,Occupied,Flutterwave
D0011,Occupied,Flutterwave
D0012,Occupied,Flutterwave
D0013,Occupied,Flutterwave
D0014,Occupied,Flutterwave
D0015,Occupied,Flutterwave
D0016,Occupied,Flutterwave
D0017,Occupied,Flutterwave
D0018,Occupied,Flutterwave
D0019,Occupied,Flutterwave
D0020,Vacant,Flutterwave
D0021,Occupied,Flutterwave
D0022,Occupied,Flutterwave
D0023,Occupied,Flutterwave
D0024,Occupied,Flutterwave
D0025,Occupied,Flutterwave
D0026,Occupied,Flutterwave
D0027,Occupied,Flutterwave
D0028,Vacant,Flutterwave
D0029,Vacant,Flutterwave
D0030,Vacant,Flutterwave
D0031,Vacant,Flutterwave
D0032,Vacant,Flutterwave
D0033,Occupied,Flutterwave
D0034,Occupied,Flutterwave
D0035,Vacant,Flutterwave
D0036,Occupied,Flutterwave
D0037,Occupied,Flutterwave
D0038,Occupied,Flutterwave
D0039,Occupied,Flutterwave
D0040,Occupied,Flutterwave
D0041,Occupied,Flutterwave
D0042,Occupied,Flutterwave
D0043,Occupied,Flutterwave
D0044,Occupied,Flutterwave
D0045,Occupied,Flutterwave
D0046,Occupied,Flutterwave
D0047,Occupied,Flutterwave
D0048,Occupied,Flutterwave
D0049,Occupied,Flutterwave
D0050,Vacant,Flutterwave
D0051,Occupied,Flutterwave
D0052,Occupied,Flutterwave
D0053,Vacant,Flutterwave
D0054,Vacant,Flutterwave
D0055,Vacant,Flutterwave
D0056,Vacant,Flutterwave
D0057,Vacant,Flutterwave
D0058,Vacant,Flutterwave
D0059,Occupied,Flutterwave
D0060,Occupied,Flutterwave
D0061,Occupied,Flutterwave
D0062,Occupied,Flutterwave
D0063,Occupied,Flutterwave
D0064,Occupied,Flutterwave
D0065,Occupied,Flutterwave
D0066,Occupied,Flutterwave
D0067,Occupied,Flutterwave
D0068,Occupied,Flutterwave
D0069,Vacant,Flutterwave
D0070,Vacant,Flutterwave
D0071,Occupied,Flutterwave
D0072,Occupied,Flutterwave
D0073,Occupied,Flutterwave
D0074,Vacant,Flutterwave
D0075,Vacant,Flutterwave
D0076,Vacant,Flutterwave
