desk_id,status,campaign
K0001,Occupied,Mail Room
K0002,Occupied,Mail Room
K0003,Occupied,Mail Room
K0004,Occupied,Mail Room
K0005,Occupied,Mail Room
K0006,Vacant,Mail Room
K0007,Occupied,Mail Room
K0008,Occupied,Mail Room
K0009,Occupied,Mail Room
K0010,Occupied,Mail Room
K0011,Occupied,Mail Room
K0012,Occupied,Mail Room
K0013,Occupied,Mail Room
K0014,Occupied,Mail Room
K0015,Occupied,Mail Room
K0016,Occupied,Mail Room
K0017,Occupied,Mail Room
K0018,Occupied,Mail Room
K0019,Occupied,Mail Room
K0020,Occupied,Mail Room
K0021,Occupied,Mail Room
K0022,Occupied,Mail Room
K0023,Occupied,Mail Room
K0024,Occupied,Mail Room
