desk_id,status,campaign
L0001,Vacant,MR
L0002,Vacant,MR
L0003,Vacant,MR
L0004,Vacant,MR
L0005,Occupied,MR
L0006,Vacant,MR
L0007,Vacant,MR
L0008,Vacant,MR
L0009,Vacant,MR
L0010,Vacant,MR
L0011,Vacant,MR
L0012,Vacant,MR
L0013,Vacant,MR
L0014,Vacant,MR
L0015,Occupied,MR
L0016,Occupied,MR
L0017,Occupied,MR
L0018,Occupied,MR
L0019,Occupied,MR
L0020,Occupied,MR
L0021,Occupied,MR
L0022,Occupied,MR
L0023,Vacant,MR
L0024,Vacant,MR
L0025,Occupied,MR
L0026,Occupied,MR
L0027,Occupied,MR
L0028,Occupied,MR
L0029,Vacant,MR
L0030,Vacant,MR
L0031,Vacant,MR
L0032,Vacant,MR
L0033,Occupied,MR
L0034,Occupied,MR
L0035,Occupied,MR
L0036,Vacant,MR
L0037,Occupied,MR
L0038,Vacant,MR
