desk_id,status,campaign
E0001,Occupied,CBN
E0002,Occupied,CBN
E0003,Vacant,CBN
E0004,Occupied,CBN
E0005,Occupied,CBN
E0006,Occupied,CBN
E0007,Occupied,CBN
E0008,Occupied,CBN
E0009,Vacant,CBN
E0010,Occupied,CBN
E0011,Occupied,CBN
E0012,Occupied,CBN
E0013,Occupied,CBN
E0014,Occupied,CBN
E0015,Vacant,CBN
E0016,Vacant,CBN
E0017,Occupied,CBN
E0018,Vacant,CBN
E0019,Occupied,CBN
E0020,Occupied,CBN
E0021,Occupied,CBN
E0022,Vacant,CBN
E0023,Occupied,CBN
E0024,Occupied,CBN
E0025,Occupied,CBN
E0026,Vacant,CBN
E0027,Occupied,CBN
E0028,Vacant,CBN
E0029,Occupied,CBN
E0030,Occupied,CBN
E0031,Occupied,CBN
E0032,Occupied,CBN
E0033,Occupied,CBN
E0034,Occupied,CBN
E0035,Occupied,CBN
E0036,Occupied,CBN
E0037,Occupied,CBN
E0038,Occupied,CBN
E0039,Occupied,CBN
E0040,Occupied,CBN
E0041,Occupied,CBN
E0042,Occupied,CBN
E0043,Occupied,CBN
E0044,Occupied,CBN
