desk_id,status,campaign
H0001,Occupied,Lead Gen
H0002,Vacant,Lead Gen
H0003,Occupied,Lead Gen
H0004,Occupied,Lead Gen
H0005,Occupied,Lead Gen
H0006,Occupied,Lead Gen
H0007,Occupied,Lead Gen
H0008,Occupied,Lead Gen
H0009,Vacant,Lead Gen
H0010,Vacant,Lead Gen
H0011,Vacant,Lead Gen
H0012,Vacant,Lead Gen
H0013,Vacant,Lead Gen
H0014,Vacant,Lead Gen
H0015,Occupied,Lead Gen
H0016,Occupied,Lead Gen
H0017,Occupied,Lead Gen
H0018,Occupied,Lead Gen
H0019,Occupied,Lead Gen
H0020,Occupied,Lead Gen
H0021,Occupied,Lead Gen
H0022,Occupied,Lead Gen
H0023,Occupied,Lead Gen
H0024,Occupied,Lead Gen
H0025,Occupied,Lead Gen
H0026,Occupied,Lead Gen
H0027,Vacant,Lead Gen
H0028,Vacant,Lead Gen
H0029,Vacant,Lead Gen
H0030,Vacant,Lead Gen
H0031,Vacant,Lead Gen
H0032,Vacant,Lead Gen
H0033,Vacant,Lead Gen
H0034,Vacant,Lead Gen
H0035,Vacant,Lead Gen
H0036,Vacant,Lead Gen
