desk_id,status,campaign
N0001,Occupied,Nerc
N0002,Occupied,Nerc
N0003,Occupied,Nerc
N0004,Occupied,Nerc
N0005,Occupied,Nerc
N0006,Occupied,Nerc
N0007,Occupied,Nerc
N0008,Occupied,Nerc
N0009,Occupied,Nerc
N0010,Occupied,Nerc
N0011,Occupied,Nerc
N0012,Occupied,Nerc
N0013,Occupied,Nerc
N0014,Occupied,Nerc
N0015,Occupied,Nerc
N0016,Occupied,Nerc
N0017,Occupied,Nerc
N0018,Occupied,Nerc
N0019,Occupied,Nerc
N0020,Occupied,Nerc
N0021,Occupied,Nerc
N0022,Occupied,Nerc
N0023,Occupied,Nerc
N0024,Occupied,Nerc
N0025,Occupied,Nerc
N0026,Occupied,Nerc
N0027,Occupied,Nerc
N0028,Occupied,Nerc
N0029,Occupied,Nerc
N0030,Occupied,Nerc
N0031,Occupied,Nerc
N0032,Occupied,Nerc
N0033,Occupied,Nerc
N0034,Occupied,Nerc
N0035,Occupied,Nerc
N0036,Occupied,Nerc
N0037,Occupied,Nerc
N0038,Occupied,Nerc
N0039,Occupied,Nerc
N0040,Occupied,Nerc
N0041,Occupied,Nerc
N0042,Occupied,Nerc
N0043,Occupied,Nerc
N0044,Occupied,Nerc
