desk_id,status,campaign
Q0001,vacant,CS
Q0002,vacant,CS
Q0003,Occupied,CS
Q0004,Occupied,CS
Q0005,Occupied,CS
Q0006,Occupied,CS
Q0007,vacant,CS
Q0008,Occupied,CS
Q0009,Occupied,CS
Q0010,Occupied,CS
Q0011,Occupied,CS
Q0012,vacant,CS
Q0013,vacant,CS
Q0014,vacant,CS
Q0015,Occupied,CS
Q0016,vaccant,CS
Q0017,Occupied,CS
Q0018,vacant,CS
Q0019,vacant,CS
Q0020,vacant,CS
Q0021,vacant,CS
Q0022,vacant,CS
Q0023,Occupied,CS
Q0024,Occupied,CS
Q0025,Occupied,CS
Q0026,Occupied,CS
Q0027,Occupied,CS
Q0028,Occupied,CS
Q0029,Occupied,CS
Q0030,Occupied,CS
Q0031,Occupied,CS
Q0032,vacant,CS
Q0033,Occupied,CS
Q0034,Occupied,CS
Q0035,Occupied,CS
Q0036,Occupied,CS
Q0037,Occupied,CS
Q0038,Occupied,CS
Q0039,Occupied,CS
Q0040,Occupied,CS
Q0041,Occupied,CS
Q0042,Occupied,CS
Q0043,Occupied,CS
Q0044,Occupied,CS
Q0045,Occupied,CS
Q0046,Occupied,CS
Q0047,vaccant,CS
Q0048,Occupied,CS
Q0049,Occupied,CS
Q0050,Occupied,CS
Q0051,Occupied,CS
Q0052,Occupied,CS
Q0053,Occupied,CS
Q0054,Occupied,CS
Q0055,vacant,CS
Q0056,vacant,CS
Q0057,vacant,CS
Q0058,vacant,CS
Q0059,vacant,CS
Q0060,vacant,CS
Q0061,Occupied,CS
Q0062,Occupied,CS
Q0063,Occupied,CS
Q0064,Occupied,CS
Q0065,Occupied,CS
Q0066,Occupied,CS
Q0067,Occupied,CS
Q0068,Occupied,CS
Q0069,Occupied,CS
Q0070,Occupied,CS
Q0071,Occupied,CS
Q0072,Occupied,CS
Q0073,Vaccant,CS
Q0074,Occupied,CS
Q0075,Occupied,CS
Q0076,Occupied,CS
Q0077,Occupied,CS
Q0078,vacant,CS
Q0079,Occupied,CS
Q0080,Occupied,CS
Q0081,vaccant,CS
Q0082,Occupied,CS
Q0083,vacant,CS
Q0084,Occupied,CS
Q0085,Occupied,CS
Q0086,Occupied,CS
Q0087,Occupied,CS
Q0088,Occupied,CS
Q0089,Occupied,CS
Q0090,Occupied,CS
Q0091,Occupied,CS
Q0092,Occupied,CS
Q0093,Occupied,CS
Q0094,Occupied,CS
