desk_id,status,campaign
R0001,Occupied,Canvassing
R0002,Occupied,Canvassing
R0003,Occupied,Canvassing
R0004,vacant,Canvassing
R0005,vacant,Canvassing
R0006,vacant,Canvassing
R0007,Occupied,Canvassing
R0008,Occupied,Canvassing
R0009,vacant,Canvassing
R0010,Occupied,Canvassing
R0011,Occupied,Canvassing
R0012,Occupied,Canvassing
R0013,Occupied,Canvassing
R0014,Occupied,Canvassing
R0015,Occupied,Canvassing
R0016,Occupied,Canvassing
R0017,vacant,Canvassing
R0018,vacant,Canvassing
R0019,Occupied,Canvassing
R0020,Occupied,Canvassing
R0021,Occupied,Canvassing
R0022,vacant,Canvassing
R0023,Occupied,Canvassing
R0024,Occupied,Canvassing
R0025,Occupied,Canvassing
R0026,Occupied,Canvassing
R0027,Occupied,Canvassing
R0028,Occupied,Canvassing
R0029,Occupied,Canvassing
R0030,Occupied,Canvassing
R0031,Occupied,Canvassing
R0032,Occupied,Canvassing
R0033,Occupied,Canvassing
R0034,Occupied,Canvassing
R0035,vacant,Canvassing
R0036,vacant,Canvassing
R0037,Occupied,Canvassing
R0038,Occupied,Canvassing
R0039,Occupied,Canvassing
R0040,Occupied,Canvassing
R0041,Occupied,Canvassing
R0042,Occupied,Canvassing
R0043,Occupied,Canvassing
R0044,Occupied,Canvassing
R0045,Occupied,Canvassing
R0046,Occupied,Canvassing
R0047,Occupied,Canvassing
R0048,Occupied,Canvassing
R0049,Occupied,Canvassing
R0050,Occupied,Canvassing
R0051,Occupied,Canvassing
R0052,vacant,Canvassing
R0053,Occupied,Canvassing
R0054,Occupied,Canvassing
R0055,Occupied,Canvassing
